,company,month,ai_sum,ai_in,ai_out,cloud_sum,cloud_in,cloud_out,datascience_sum,datascience_in,datascience_out,datastorage_sum,datastorage_in,datastorage_out,robots_sum,robots_in,robots_out,software_sum,software_in,software_out,name,ticker,exchange,country,sector,sedol,isin,cusip,orb_num,url,industry,naics_code,naics_description,cik,lei,agg_sml,agg_obs,agg_reorg,agg_rcog,agg_rman,agg_tele
11508,SPX Corp,2015-05,12.899522,0.0056551169999999,0.004165264,135.16753,3.031917,3.6306834,121.444725,2.879361,4.0985417,199.20195,3.9644077000000006,4.3667684,1186.9468,19.464817,20.117949,257.11697000000004,5.526904,7.8212943,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.752222,3.5617354,4.195092,0.14875308,0.08999624,0.3746585999999999
13086,Honeywell International Inc,2008-10,3513.2578,91.08705,39.526394,12022.192,248.15096,160.52832,4733.398,94.810295,68.01144000000001,10836.83,242.45163,157.05491999999998,38688.85,618.78235,437.7825,17593.58,354.875,213.22554,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.755307,3.580411,4.2150927000000005,0.11415612,-0.013545701,0.4297254
13087,Honeywell International Inc,2012-10,3956.8774,69.73768000000001,47.451626,12400.27,234.47884,219.5006,6103.807,152.45285,128.24878,12004.181,266.81183,251.63507,42252.68,732.21735,637.29486,19725.648,356.41464,327.37967000000003,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7624002,3.59286,4.228038300000001,0.11321425,-0.020397844,0.43448395
13088,Honeywell International Inc,2013-01,4107.3115,176.81775,116.91725,12442.168,421.15723,385.67136,6351.5044,361.81827,227.87474,12137.154,442.69376,370.15613,42492.273,1347.5792,1164.5833,20059.28,728.8146,512.23303,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7598007,3.5895188,4.2239260000000005,0.11292795,-0.018829472,0.4335376
13912,"Stanley Black & Decker, Inc.",2020-02,112.31586,2.9582195,0.68729246,1329.5961,15.028892,23.456964000000003,812.93256,19.46217,28.318571,1429.0029,23.693823,31.423668,3170.2747,69.370605,59.02788,1449.4764,36.003741999999995,22.501091,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8445582000000003,3.611784,4.263614700000001,0.19034442,0.031792417,0.3576053
15923,"Stanley Black & Decker, Inc.",2014-10,73.08384000000001,2.2168589,0.011376062,1341.0017,39.121185,21.836586,512.8781,15.788004,8.211696,1195.6962,43.25518,21.137613,2966.2397,44.703083,20.789124,1142.9169,43.810585,15.558013,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8384240000000003,3.5971657999999995,4.2503667,0.20429872,0.037305385,0.34306458
15924,"Stanley Black & Decker, Inc.",2015-04,68.276825,1.2677863,0.017080087,1318.9904,33.97055,30.035748,544.4906599999999,16.129404,10.532239,1195.6854,33.76352,38.73011,2939.6620000000003,37.666485,52.3963,1100.0007,21.0272,26.396467,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8415399,3.6013842000000005,4.2557483,0.20141116,0.037634745,0.34445122
17523,Emerson Electric Co.,2009-10,1250.7836,18.203987,10.941773,5824.4565,89.24158,110.212204,2692.4531,41.75723,38.815357,6194.0396,101.883736,120.762215,24082.855,313.10333,356.06335,8819.617,123.06647,135.11037,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7931318,3.6137853,4.249377,0.16447327,0.082438804,0.39086202
17524,Emerson Electric Co.,2011-09,1291.967,46.606525,30.163643,5898.2646,145.6793,140.84186,3076.7588,105.13493,86.06931,6413.9746,150.16196000000002,157.30116,25479.21,512.2302,532.6834,9456.955,228.87933,189.6444,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.792673,3.6131983,4.2488933,0.16687196,0.08487866,0.38739154
17525,Emerson Electric Co.,2018-08,1367.4034,19.971373,49.8855,4297.9497,87.44176,93.27852,4186.948,105.21983,249.26003,5233.6753,91.44681,143.27016,21499.055,229.12054,449.57312,8280.024,130.25116,268.29422,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7868310000000003,3.6059198,4.240254,0.16660348,0.080938935,0.38533682
19914,Illinois Tool Works Inc.,2016-06,69.835075,3.424752,2.3243356,324.0206,6.493882,6.900403999999999,409.61887,21.15123,21.432877,571.7259,25.709322,15.040207999999998,2961.8767,57.933315,48.737583,981.2583,29.319393,22.08138,Illinois Tool Works Inc.,ITW,NYSE,United States,Industrials,2457552,US4523081093,452308109,,,,,,,,2.839728,3.631219600000001,4.2662497,0.19722451,0.13917825,0.36540058
20797,Danaher Corp,2009-05,660.0824,23.485813,18.520018,3454.6626,48.892998,34.414215000000006,2116.5857,63.948727000000005,45.909954,3793.7717,71.96122,45.376865,11508.449,147.32686,105.33596,5650.791,99.21336,62.014812,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8224628,3.639108,4.2721540000000005,0.26583812,0.0586139859999999,0.36982644
20798,Danaher Corp,2014-10,934.17596,25.787107,11.622218,3770.6904,55.352226,68.55982,3064.7607,81.745514,94.01676,4514.743,81.67000999999999,74.61955999999999,12691.694,216.74329,230.43925,6842.4644,124.82911,120.61619,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8202431,3.6418393,4.271292,0.27279595,0.05124702,0.3701789
21582,"Stanley Black & Decker, Inc.",2010-03,46.14619,0.9776779,0.0028536525,1608.3069,36.75138,24.21571,422.1097,11.960584,4.6115010000000005,1224.3171,25.554947,23.598356,2871.3972,59.195236,54.520966,963.6595,18.006667999999998,13.577276,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8462336,3.6024673,4.2585006,0.2028475,0.014267132,0.34146735
21583,"Stanley Black & Decker, Inc.",2013-10,67.311195,2.7575555,1.495791,1401.1792,20.007769,39.23958,490.93353,15.657151999999998,10.040032,1212.5481,24.630587,26.181337,2975.3118,45.742825,46.84193,1106.9299,30.63219,25.20628,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8461924,3.6078353,4.261408,0.20608853,0.025148531,0.34515393
22727,Emerson Electric Co.,2013-11,1471.9788,33.701412,32.817005,5755.6377,99.4858,98.23324,3965.6865,90.21651,67.39189,6702.774,128.47838000000002,108.17831,26177.227000000003,430.36484,323.43692000000004,9890.15,203.00941,161.8563,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7892668,3.6093879,4.24531,0.16393353,0.080395564,0.387824
22728,Emerson Electric Co.,2016-06,1660.4791,87.48558,52.377148,5142.0874,143.89948,120.66647,5052.1987,380.48068,175.89896000000002,6251.512,190.56358,151.99559,24592.193,518.2095,448.44482,9651.98,367.5963,247.0154,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7857866,3.6047332,4.240251,0.16248485,0.08326297,0.38457957
22729,Emerson Electric Co.,2017-07,1439.0062,23.519516,36.437090000000005,4387.165,87.06926,79.13537600000001,4382.4536,150.32466000000002,162.59177,5383.2563,126.26621000000002,114.33668,22066.05,289.5503,326.3819,8540.063,185.56627,132.60998999999998,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7852914,3.6034992,4.2382236,0.16430657,0.083059676,0.38460663
22730,Emerson Electric Co.,2019-07,1280.425,23.058125,16.978379999999998,4143.2437,47.27821,52.322056,3998.7144,93.84215,109.431435,5104.0986,76.17628,63.755833,21295.64,254.3442,226.90523,8073.195,109.990906,100.650764,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.784165,3.6032383,4.237073400000001,0.16578285,0.0785893999999999,0.38523033
23317,Danaher Corp,2019-01,1215.216,45.45169,30.294464,3974.837,118.785416,107.29128,4381.845,183.39948,134.1211,5158.4653,169.41612,119.98055,13198.059,322.77625,258.9741,7770.639,190.1755,165.84346000000002,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8207479,3.649158,4.278184400000001,0.2727849,0.039093707,0.3764119
23370,Ingersoll-Rand PLC,2008-07,185.11276,4.1504445,9.303185,1875.7112,44.92322,36.42669,874.03955,21.424728,33.07159,2227.9841,48.57662,41.486813,9665.606,180.13513,139.8843,2205.5115,50.149544,44.529,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7595115000000003,3.5613867999999997,4.178922,0.13308755,0.04098603,0.3789667
23371,Ingersoll-Rand PLC,2016-03,281.62448,12.811556,1.5743433999999998,1879.7152,27.969002000000003,38.75715,1415.5021,41.070362,30.641844,2409.1416,50.951640000000005,49.137863,9600.915,129.3323,125.87376,2765.507,53.7586,40.255642,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7602637000000003,3.5621120000000004,4.180630000000001,0.13006015,0.041484278,0.37745336
25315,General Electric Company,2016-05,9768.926,354.35922,238.03706,22913.803,672.2655,556.24274,23472.465,1556.9927,768.9313400000001,28138.336,954.7463,786.4527,78379.266,2053.1763,1666.1221,36077.27,1559.9216,893.2950400000001,General Electric Company,GE,NYSE,United States,Industrials,2380498,US3696041033,369604103,,,,,,,,2.8074197999999995,3.6597223,4.291044,0.1963396,0.0053470773,0.4022945
25316,General Electric Company,2016-09,9737.259,262.3247,325.8738,23127.646,677.8479,594.8848,22752.379,800.95935,787.5432,28178.586,876.48334,843.7049599999999,76759.86,1475.9756,1615.581,36170.94,1055.7548,978.0767,General Electric Company,GE,NYSE,United States,Industrials,2380498,US3696041033,369604103,,,,,,,,2.8081949,3.662136,4.292515799999999,0.19556184,0.0014792285,0.40495646
26681,Danaher Corp,2008-02,651.496,7.503357,5.16341,3392.5713,56.78574,40.833035,1992.8031,28.497505,31.41483,3672.894,81.99956999999999,55.05016,11336.431,157.77933000000002,114.253586,5589.8413,84.64101,65.66369,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.81619,3.6324625,4.262703,0.26154596,0.050848678,0.37376082
26682,Danaher Corp,2018-02,1137.7162,19.677324,11.130804,3864.6096,69.99369,45.733788,4064.2334,90.23488,65.77873000000001,4985.6387,92.17309,71.36813000000001,12799.914,160.66742,138.55556,7447.481,121.04278,85.75527,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8241994,3.6508586,4.281048,0.27516368,0.04563231,0.37330866
27689,Honeywell International Inc,2015-05,4432.109,141.9698,112.67473,12031.438,275.65594,218.90094,7735.2925,428.49677,184.34482,12192.466,392.92593,240.21017,42481.53,879.9444,654.1988,20770.854,574.1427,358.23282,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7608857,3.5926213,4.2274184,0.1134012,-0.019156221,0.4337079000000001
27690,Honeywell International Inc,2018-10,4329.795999999999,138.08095,141.33905,11198.487,232.83728,370.57565,8604.127,278.46832,313.33826,11732.971,277.73752,440.22803,40345.168,703.2245,993.9835,20359.875,453.84082,581.5627400000001,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7644374,3.6009004,4.2341337,0.11168444,-0.029259773,0.43664688
28985,Ingersoll-Rand PLC,2008-03,171.26205,1.6354817,2.1560621,1843.2958,31.887940000000004,26.737724,840.4026,5.630133,10.227752,2173.364,49.9439,32.578342,9415.811,123.12086,129.29007,2116.0017,30.025898,24.35924,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7612627,3.5623531,4.1801900000000005,0.13617952,0.046112172,0.3781151
28986,Ingersoll-Rand PLC,2008-04,172.49671999999998,3.3907260000000004,2.5544975,1846.0995,29.54145,20.328892,847.5191,17.344257,12.289938,2183.0747,42.28913,12.912412,9440.207,153.68666000000002,98.052124,2120.5876,28.945393,36.63796,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7618124,3.5631049,4.1810565,0.13573545,0.045868114,0.37814152
28987,Ingersoll-Rand PLC,2017-02,292.2785,4.536974,5.615533,1906.1564,21.086386,33.991856,1517.2672,45.688435,23.521364,2475.8223,53.037643,42.918514,9669.908,115.48773,117.90185,2898.0781,42.557995,45.021446000000005,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.760025,3.5627959,4.180828,0.13001987,0.04429995,0.3763674
28988,Ingersoll-Rand PLC,2017-05,303.00262000000004,5.8435120000000005,3.474395,1903.8107,30.102713,38.983852,1629.7998,119.7776,60.86591,2488.3857,47.866417,52.63728,9799.731,221.98996,136.76945,2955.05,87.80340600000001,56.022663,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7565582,3.5579882000000005,4.1751266000000005,0.13249908,0.0461462329999999,0.37484702
28989,Ingersoll-Rand PLC,2018-03,319.20886,6.1112494,10.252154,1789.4169,34.909237,34.483276000000004,1571.7087,42.481377,31.433397,2402.4124,41.739063,54.824474,9648.528,132.29623,115.13755,2833.9734,41.13382,50.824326,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7616334,3.5642970000000003,4.182094,0.13033342,0.048392817,0.374961
32459,SPX Corp,2012-02,23.616106,2.0264823,0.7996365,214.89476,7.429811,4.1162577,162.47023000000002,2.673407,3.3902545,307.19446,8.554883,7.448210700000001,1444.3032,16.853472,24.435257,369.35254,4.6433625,10.257363,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7614045,3.5769973,4.209613,0.14473735,0.057492778,0.38570294
33639,Honeywell International Inc,2017-06,4416.844,105.102936,114.43937,11496.035,231.05655,204.3483,8422.139000000001,357.6872,247.77188,12118.808,278.92178,233.02556,40622.11,664.7714,617.0952,20619.541,452.11877,345.8712,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7603946,3.594098,4.227123000000001,0.11287251,-0.027827132,0.43697754
34521,Honeywell International Inc,2012-09,4012.3066,115.897194,125.16698,12419.095,279.3535,253.30406,6153.4497,191.01529,202.0956,12047.482,339.97696,310.11304,42280.266,696.4401,759.8049,19806.432,479.62845,437.19785,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7619495,3.5922942000000004,4.227379,0.11265543,-0.0207836089999999,0.43467933
36191,SPX Corp,2019-12,13.724075,0.01619444,0.10524354,84.91350600000001,0.11257147,0.3176309,84.44841,0.47862175,3.2261472,148.46031000000002,2.879998,4.534395,1040.6151,2.9449482,11.563014,219.50232000000003,1.6994283,2.3951838,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7344315,3.5294049,4.1556120000000005,0.15646271,0.104947455,0.36719254
36192,SPX Corp,2020-02,14.969332,1.354112,0.039753184,83.165764,0.2461727,1.4506339,83.68046,1.4067051000000002,3.0453596000000003,145.482,1.5795046999999998,2.7870224,1030.8903,2.8119547000000003,7.235007,223.46487,1.5052705,2.8558877000000003,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7375598,3.5329185,4.160513,0.15348004,0.10359594,0.36908135
38569,"Stanley Black & Decker, Inc.",2020-05,109.64346,0.6975684,3.525027,1291.7412,9.359652,25.618906,776.8141,12.941148,24.065186,1382.8701,11.714538,27.382057,3092.8342,31.897657,53.4071,1418.8878,15.548434,31.253239,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8409035,3.6082323,4.2590876,0.18910049,0.02767178,0.3578410999999999
39644,Emerson Electric Co.,2010-03,1252.6802,16.440908,16.559137,5748.6357,80.83665500000001,128.84229,2669.5767,55.490868000000006,50.13565,6090.3794,97.4185,134.69179,24016.078,417.2824700000001,383.71448,8776.989,161.81058000000002,158.11006,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7927197999999995,3.6123054,4.247866999999999,0.16578706,0.08608385,0.3885302
39645,Emerson Electric Co.,2019-02,1297.2445,24.4013,21.591034,4177.1406,48.661995000000005,57.57018000000001,3959.9233,72.14496,71.93928000000001,5073.055,67.560425,58.236763,21152.537,181.45282,160.83191000000002,8028.616999999999,94.30843,71.72635,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7918506,3.6123657,4.248014,0.16602108,0.08149603,0.38547355
39646,Emerson Electric Co.,2019-08,1282.3767,18.930058,36.228813,4129.6025,38.68075,72.731544,3985.6506,96.36776,145.12152,5125.5986,85.25607,116.73696,21269.889,201.153,308.35495,8080.238,107.693726,185.30556,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7843275000000003,3.6034877,4.2374964,0.16593368,0.07857321,0.38514215
40121,SPX Corp,2008-07,34.491405,0.0011127412,0.0012529272,208.5384,0.5997285,6.253303,175.36616999999998,2.6089852,4.120889,300.57156000000003,4.536855,8.780381,1494.2974,19.590597,19.30501,377.58997,2.9191644,3.5941339,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7679214,3.5857372000000005,4.217724,0.14546742,0.048778784,0.39555266
40122,SPX Corp,2012-08,28.89646,1.1395620000000002,5.6865835,210.23782000000003,6.9595947,7.859043600000001,170.1835,2.3493276,8.427196,288.29733,6.8951387,15.772448,1462.2015,34.10923,39.945248,362.79532,10.865406,21.601217,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7490206,3.5625267,4.190707700000001,0.14075622,0.051635277,0.38278967
42142,Ingersoll-Rand PLC,2012-06,233.73796,5.922505999999999,4.169274,1682.5259,44.949127,30.912046000000004,1069.6676,59.97317,26.306515,2107.5042,65.27215,33.271576,9756.311,236.58809,195.67496,2316.5164,65.31031999999999,32.007637,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7528188,3.5516050000000003,4.168012,0.13186154,0.040785696,0.37638098
49463,Illinois Tool Works Inc.,2008-11,77.1497,0.004388022,0.0037351279,357.22134,2.1179972,2.7955372000000005,272.76193,2.0663633000000003,0.0227500779999999,535.7782599999999,2.1313837,2.811078,2961.151,26.534355,25.53552,927.3086,6.110250499999999,5.959568,Illinois Tool Works Inc.,ITW,NYSE,United States,Industrials,2457552,US4523081093,452308109,,,,,,,,2.841827,3.6329174,4.268265,0.18577638,0.13140643,0.3689509
49464,Illinois Tool Works Inc.,2010-07,59.071312,1.6313568,1.5901582,335.5542,5.645878,1.4967974,282.07364,7.7339945,1.4175675,521.1662,8.0495825,2.5306013,2980.893,44.112213,15.4300995,936.264,19.423677,5.8976164,Illinois Tool Works Inc.,ITW,NYSE,United States,Industrials,2457552,US4523081093,452308109,,,,,,,,2.838163,3.6260464,4.2605925,0.19537269,0.14358874,0.3638962
49638,Honeywell International Inc,2009-06,3515.8767,50.861065,71.494484,11898.463,189.96458,182.6213,4708.2695,92.51207,93.073715,10802.153,182.30339,219.51517,38552.695,443.49075,461.32425,17531.156000000003,249.3988,271.04632999999995,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7564666,3.5825045,4.217336,0.11438668,-0.014108381,0.4304641999999999
49639,Honeywell International Inc,2019-01,4279.959,119.27438,80.51985,10997.765,302.09726,244.53358,8580.277,358.4511,230.68474,11548.815,365.2491,262.68805,40001.348,863.0641,621.5796,20154.627,494.49167,354.8782,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7646174,3.6011727,4.234165,0.11267522,-0.028381074,0.4364068
49640,Honeywell International Inc,2019-05,4296.9185,76.75927,91.85046,10950.305,146.60815,174.5031,8696.808,257.20987,212.43764,11569.059,198.04703,182.46521,39933.652,506.62274,504.57446,20177.084,305.94647000000003,319.5601,Honeywell International Inc,HON,NYSE,United States,Industrials,2020459,US4385161066,438516106,,,,,,,,2.7620096000000003,3.5987012000000003,4.230897,0.111280315,-0.03151661,0.43714127
52152,SPX Corp,2008-10,27.75961,0.0007876339,0.0014467449,198.51524,1.6707757,1.1508168,157.63533,3.2901473,3.9408996,291.4892,3.198505,3.511475,1503.852,33.095467,17.228082999999998,358.98828,7.0862045,6.439515,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7704327,3.590122,4.221979,0.14415112,0.042146977,0.39762315
52153,SPX Corp,2013-04,21.631516,0.0021899103,0.0020175557999999,165.74551,8.3824,3.9247224,132.03293,2.7856233,1.3868395,242.84467,11.838695,5.311001999999999,1322.7318,28.924572,14.981654,284.67938,12.259132,5.445398,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7473097,3.5591316,4.189587,0.13492423,0.068062805,0.38056034
52154,SPX Corp,2013-08,20.923029,0.0016615941,1.7453735,166.68091,3.8605523,2.3670368,139.08936,1.6615838,8.612981,242.22849,8.235037,7.531863,1319.8798,13.171147,35.939409999999995,281.71667,8.411621,7.801381599999999,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7477434,3.560751,4.1904526,0.14143336,0.0617392359999999,0.38221604
52155,SPX Corp,2014-06,17.999317,-5.2185405e-17,2.1963806,160.69167,-8.2701586e-16,9.108728,144.68521,19.803436,6.996153,217.78766,8.217102,7.760374499999999,1290.7931,49.118835,24.562267,287.7831,17.753551,11.503549,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7447107,3.5540836,4.1855516,0.14372186,0.07359394,0.37735265
52156,SPX Corp,2014-08,12.760432000000002,0.39470845,0.0020187076,158.99411,3.667961,4.664016999999999,142.54272,4.288301000000001,13.316922,218.87741,6.093032,3.4017115,1289.0504,24.3823,42.583828,288.83224,6.326022,23.145992,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.746771,3.556045,4.1884356,0.14415088,0.078856155,0.3763779
52157,SPX Corp,2016-11,16.70884,0.0146461,0.020489803,94.44554,0.1522662999999999,2.9793074,104.20226,1.4139265,1.7323377,160.9892,1.6040778999999998,4.038338,1057.4283,14.726194,12.26544,223.10176,4.9623475,10.937431,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7313223,3.530621,4.1568055,0.1485318,0.09233098,0.36561742
